Time (s),Volumes (m3/s),Fluxes Boundary 1,Fluxes Boundary 2
5750.0,267224.4,35.00284,-31.77193
5800.0,267378.4,35.00284,-32.06271
5850.0,267518.5,35.00284,-32.33068
5900.0,267645.7,35.00284,-32.5744
5950.0,267761.3,35.00284,-32.7962
6000.0,267866.3,35.00284,-32.99854
6050.0,267961.7,35.00284,-33.18241
6100.0,268048.3,35.00284,-33.34859
6150.0,268127.0,35.00284,-33.50022
6200.0,268198.5,35.00284,-33.63825
6250.0,268263.4,35.00284,-33.76436
6300.0,268322.3,35.00284,-33.87888
6350.0,268375.9,35.00284,-33.98223
6400.0,268424.4,35.00284,-34.07629
6450.0,268468.5,35.00284,-34.16164
6500.0,268508.6,35.00284,-34.24019
6550.0,268544.8,35.00284,-34.31206
6600.0,268577.7,35.00284,-34.37678
6650.0,268607.5,35.00284,-34.43516
6700.0,268634.6,35.00284,-34.48801
6750.0,268659.1,35.00284,-34.53578
6800.0,268681.3,35.00284,-34.57947
6850.0,268701.5,35.00284,-34.61906
6900.0,268719.7,35.00285,-34.65499
6950.0,268736.3,35.00285,-34.6876
7000.0,268751.3,35.00285,-34.71722
7050.0,268764.8,35.00285,-34.74419
7100.0,268777.1,35.00285,-34.76841
7150.0,268788.3,35.00285,-34.79047
7200.0,268798.4,35.00285,-34.81038
7250.0,268807.5,35.00285,-34.82854
7300.0,268815.8,35.00285,-34.84498
7350.0,268823.3,35.00285,-34.85984
7400.0,268830.1,35.00285,-34.8734
7450.0,268836.3,35.00285,-34.8856
7500.0,268841.9,35.00285,-34.89663
7550.0,268846.9,35.00285,-34.90662
7600.0,268851.5,35.00285,-34.91567
7650.0,268855.6,35.00285,-34.92387
7700.0,268859.4,35.00285,-34.93129
7750.0,268862.8,35.00286,-34.93798
7800.0,268865.9,35.00286,-34.94401
7850.0,268868.7,35.00286,-34.9495
7900.0,268871.2,35.00286,-34.95446
7950.0,268873.5,35.00286,-34.95896
8000.0,268875.6,35.00286,-34.96303
8050.0,268877.5,35.00286,-34.96673
8100.0,268879.2,35.00286,-34.97008
8150.0,268880.8,35.00286,-34.97311
8200.0,268882.2,35.00286,-34.97586
8250.0,268883.5,35.00286,-34.97834
8300.0,268884.7,35.00286,-34.9806
8350.0,268885.7,35.00286,-34.98261
8400.0,268886.7,35.00286,-34.98445
8450.0,268887.6,35.00286,-34.98612
8500.0,268888.4,35.00286,-34.98764
8550.0,268889.1,35.00286,-34.98902
8600.0,268889.8,35.00287,-34.99027
8650.0,268890.4,35.00287,-34.9914
8700.0,268890.9,35.00287,-34.99243
8750.0,268891.4,35.00287,-34.99336
8800.0,268891.9,35.00287,-34.9942
8850.0,268892.3,35.00287,-34.99497
8900.0,268892.6,35.00287,-34.99566
8950.0,268893.0,35.00287,-34.99628
9000.0,268893.3,35.00287,-34.99685
9050.0,268893.6,35.00287,-34.99736
9100.0,268893.9,35.00287,-34.99782
9150.0,268894.1,35.00287,-34.99825
9200.0,268894.3,35.00287,-34.99863
9250.0,268894.5,35.00287,-34.99897
9300.0,268894.7,35.00287,-34.99929
9350.0,268894.9,35.00287,-34.99957
9400.0,268895.0,35.00287,-34.99983
9450.0,268895.2,35.00287,-35.00006
9500.0,268895.3,35.00288,-35.00028
9550.0,268895.4,35.00288,-35.00047
9600.0,268895.6,35.00288,-35.00065
9650.0,268895.7,35.00288,-35.00081
9700.0,268895.8,35.00288,-35.00095
9750.0,268895.9,35.00288,-35.00108
9800.0,268896.0,35.00288,-35.0012
9850.0,268896.0,35.00288,-35.00131
9900.0,268896.1,35.00288,-35.00141
9950.0,268896.2,35.00288,-35.0015
10000.0,268896.2,35.00288,-35.00158
